ABCD | abcd
ABbd | cCaD
ABbd | cDCa
ABbd | cDaC
ABbd | caCD
ABbd | caDC
ABcC | Dabd
ABcC | Dadb
ABcC | Dbad
ABcC | Dbda
ABcC | Ddab
ABcC | Ddba
ABcC | aDbd
ABcC | aDdb
ABcC | abDd
ABcC | abdD
ABcC | adDb
ABcC | adbD
ABcC | bDad
ABcC | bDda
ABcC | baDd
ABcC | badD
ABcC | bdDa
ABcC | bdaD
ABcC | dDab
ABcC | dDba
ABcC | daDb
ABcC | dabD
ABcC | dbDa
ABcC | dbaD
ABcD | Cabd
ABcD | Cadb
ABcD | Cbad
ABcD | Cbda
ABcD | Cdab
ABcD | Cdba
ABcD | aCbd
ABcD | aCdb
ABcD | abCd
ABcD | abdC
ABcD | adCb
ABcD | adbC
ABcD | bCad
ABcD | bCda
ABcD | baCd
ABcD | badC
ABcD | bdCa
ABcD | bdaC
ABcD | dCab
ABcD | dCba
ABcD | daCb
ABcD | dabC
ABcD | dbCa
ABcD | dbaC
ABca | CDbd
ABca | CDdb
ABca | CbDd
ABca | CbdD
ABca | CdDb
ABca | CdbD
ABca | DCbd
ABca | DCdb
ABca | DbCd
ABca | DbdC
ABca | DdCb
ABca | DdbC
ABca | bCDd
ABca | bCdD
ABca | bDCd
ABca | bDdC
ABca | bdCD
ABca | bdDC
ABca | dCDb
ABca | dCbD
ABca | dDCb
ABca | dDbC
ABca | dbCD
ABca | dbDC
ABcb | CDad
ABcb | CDda
ABcb | CaDd
ABcb | CadD
ABcb | CdDa
ABcb | CdaD
ABcb | DCad
ABcb | DCda
ABcb | DaCd
ABcb | DadC
ABcb | DdCa
ABcb | DdaC
ABcb | aCDd
ABcb | aCdD
ABcb | aDCd
ABcb | aDdC
ABcb | adCD
ABcb | adDC
ABcb | dCDa
ABcb | dCaD
ABcb | dDCa
ABcb | dDaC
ABcb | daCD
ABcb | daDC
ABcd | CDab
ABcd | CDba
ABcd | CaDb
ABcd | CabD
ABcd | CbDa
ABcd | CbaD
ABcd | DCab
ABcd | DCba
ABcd | DaCb
ABcd | DabC
ABcd | DbCa
ABcd | DbaC
ABcd | aCDb
ABcd | aCbD
ABcd | aDCb
ABcd | aDbC
ABcd | abCD
ABcd | abDC
ABcd | bCDa
ABcd | bCaD
ABcd | bDCa
ABcd | bDaC
ABcd | baCD
ABcd | baDC
ABdC | Dabc
ABdC | Dacb
ABdC | Dbac
ABdC | Dbca
ABdC | Dcab
ABdC | Dcba
ABdC | aDbc
ABdC | aDcb
ABdC | abDc
ABdC | abcD
ABdC | acDb
ABdC | acbD
ABdC | bDac
ABdC | bDca
ABdC | baDc
ABdC | bacD
ABdC | bcDa
ABdC | bcaD
ABdC | cDab
ABdC | cDba
ABdC | caDb
ABdC | cabD
ABdC | cbDa
ABdC | cbaD
ABdD | Cabc
ABdD | Cacb
ABdD | Cbac
ABdD | Cbca
ABdD | Ccab
ABdD | Ccba
ABdD | aCbc
ABdD | aCcb
ABdD | abCc
ABdD | abcC
ABdD | acCb
ABdD | acbC
ABdD | bCac
ABdD | bCca
ABdD | baCc
ABdD | bacC
ABdD | bcCa
ABdD | bcaC
ABdD | cCab
ABdD | cCba
ABdD | caCb
ABdD | cabC
ABdD | cbCa
ABdD | cbaC
ABda | CDbc
ABda | CDcb
ABda | CbDc
ABda | CbcD
ABda | CcDb
ABda | CcbD
ABda | DCbc
ABda | DCcb
ABda | DbCc
ABda | DbcC
ABda | DcCb
ABda | DcbC
ABda | bCDc
ABda | bCcD
ABda | bDCc
ABda | bDcC
ABda | bcCD
ABda | bcDC
ABda | cCDb
ABda | cCbD
ABda | cDCb
ABda | cDbC
ABda | cbCD
ABda | cbDC
ABdb | CDac
ABdb | CDca
ABdb | CaDc
ABdb | CacD
ABdb | CcDa
ABdb | CcaD
ABdb | DCac
ABdb | DCca
ABdb | DaCc
ABdb | DacC
ABdb | DcCa
ABdb | DcaC
ABdb | aCDc
ABdb | aCcD
ABdb | aDCc
ABdb | aDcC
ABdb | acCD
ABdb | acDC
ABdb | cCDa
ABdb | cCaD
ABdb | cDCa
ABdb | cDaC
ABdb | caCD
ABdb | caDC
ABdc | CDab
ABdc | CDba
ABdc | CaDb
ABdc | CabD
ABdc | CbDa
ABdc | CbaD
ABdc | DCab
ABdc | DCba
ABdc | DaCb
ABdc | DabC
ABdc | DbCa
ABdc | DbaC
ABdc | aCDb
ABdc | aCbD
ABdc | aDCb
ABdc | aDbC
ABdc | abCD
ABdc | abDC
ABdc | bCDa
ABdc | bCaD
ABdc | bDCa
ABdc | bDaC
ABdc | baCD
ABdc | baDC
ACBD | abcd
ACBD | abdc
ACBD | acbd
ACBD | acdb
ACBD | adbc
ACBD | adcb
ACBD | bacd
ACBD | badc
ACBD | bcad
ACBD | bcda
ACBD | bdac
ACBD | bdca
ACBD | cabd
ACBD | cadb
ACBD | cbad
ACBD | cbda
ACBD | cdab
ACBD | cdba
ACBD | dabc
ACBD | dacb
ACBD | dbac
ACBD | dbca
ACBD | dcab
ACBD | dcba
ACBa | Dbcd
ACBa | Dbdc
ACBa | Dcbd
ACBa | Dcdb
ACBa | Ddbc
ACBa | Ddcb
ACBa | bDcd
ACBa | bDdc
ACBa | bcDd
ACBa | bcdD
ACBa | bdDc
ACBa | bdcD
ACBa | cDbd
ACBa | cDdb
ACBa | cbDd
ACBa | cbdD
ACBa | cdDb
ACBa | cdbD
ACBa | dDbc
ACBa | dDcb
ACBa | dbDc
ACBa | dbcD
ACBa | dcDb
ACBa | dcbD
ACBb | Dacd
ACBb | Dadc
ACBb | Dcad
ACBb | Dcda
ACBb | Ddac
ACBb | Ddca
ACBb | aDcd
ACBb | aDdc
ACBb | acDd
ACBb | acdD
ACBb | adDc
ACBb | adcD
ACBb | cDad
ACBb | cDda
ACBb | caDd
ACBb | cadD
ACBb | cdDa
ACBb | cdaD
ACBb | dDac
ACBb | dDca
ACBb | daDc
ACBb | dacD
ACBb | dcDa
ACBb | dcaD
ACBc | Dabd
ACBc | Dadb
ACBc | Dbad
ACBc | Dbda
ACBc | Ddab
ACBc | Ddba
ACBc | aDbd
ACBc | aDdb
ACBc | abDd
ACBc | abdD
ACBc | adDb
ACBc | adbD
ACBc | bDad
ACBc | bDda
ACBc | baDd
ACBc | badD
ACBc | bdDa
ACBc | bdaD
ACBc | dDab
ACBc | dDba
ACBc | daDb
ACBc | dabD
ACBc | dbDa
ACBc | dbaD
ACBd | Dabc
ACBd | Dacb
ACBd | Dbac
ACBd | Dbca
ACBd | Dcab
ACBd | Dcba
ACBd | aDbc
ACBd | aDcb
ACBd | abDc
ACBd | abcD
ACBd | acDb
ACBd | acbD
ACBd | bDac
ACBd | bDca
ACBd | baDc
ACBd | bacD
ACBd | bcDa
ACBd | bcaD
ACBd | cDab
ACBd | cDba
ACBd | caDb
ACBd | cabD
ACBd | cbDa
ACBd | cbaD
ACDB | abcd
ACDB | abdc
ACDB | acbd
ACDB | acdb
ACDB | adbc
ACDB | adcb
ACDB | bacd
ACDB | badc
ACDB | bcad
ACDB | bcda
ACDB | bdac
ACDB | bdca
ACDB | cabd
ACDB | cadb
ACDB | cbad
ACDB | cbda
ACDB | cdab
ACDB | cdba
ACDB | dabc
ACDB | dacb
ACDB | dbac
ACDB | dbca
ACDB | dcab
ACDB | dcba
ACDa | Bbcd
ACDa | Bbdc
ACDa | Bcbd
ACDa | Bcdb
ACDa | Bdbc
ACDa | Bdcb
ACDa | bBcd
ACDa | bBdc
ACDa | bcBd
ACDa | bcdB
ACDa | bdBc
ACDa | bdcB
ACDa | cBbd
ACDa | cBdb
ACDa | cbBd
ACDa | cbdB
ACDa | cdBb
ACDa | cdbB
ACDa | dBbc
ACDa | dBcb
ACDa | dbBc
ACDa | dbcB
ACDa | dcBb
ACDa | dcbB
ACDb | Bacd
ACDb | Badc
ACDb | Bcad
ACDb | Bcda
ACDb | Bdac
ACDb | Bdca
ACDb | aBcd
ACDb | aBdc
ACDb | acBd
ACDb | acdB
ACDb | adBc
ACDb | adcB
ACDb | cBad
ACDb | cBda
ACDb | caBd
ACDb | cadB
ACDb | cdBa
ACDb | cdaB
ACDb | dBac
ACDb | dBca
ACDb | daBc
ACDb | dacB
ACDb | dcBa
ACDb | dcaB
ACDc | Babd
ACDc | Badb
ACDc | Bbad
ACDc | Bbda
ACDc | Bdab
ACDc | Bdba
ACDc | aBbd
ACDc | aBdb
ACDc | abBd
ACDc | abdB
ACDc | adBb
ACDc | adbB
ACDc | bBad
ACDc | bBda
ACDc | baBd
ACDc | badB
ACDc | bdBa
ACDc | bdaB
ACDc | dBab
ACDc | dBba
ACDc | daBb
ACDc | dabB
ACDc | dbBa
ACDc | dbaB
ACDd | Babc
ACDd | Bacb
ACDd | Bbac
ACDd | Bbca
ACDd | Bcab
ACDd | Bcba
ACDd | aBbc
ACDd | aBcb
ACDd | abBc
ACDd | abcB
ACDd | acBb
ACDd | acbB
ACDd | bBac
ACDd | bBca
ACDd | baBc
ACDd | bacB
ACDd | bcBa
ACDd | bcaB
ACDd | cBab
ACDd | cBba
ACDd | caBb
ACDd | cabB
ACDd | cbBa
ACDd | cbaB
ACaB | Dbcd
ACaB | Dbdc
ACaB | Dcbd
ACaB | Dcdb
ACaB | Ddbc
ACaB | Ddcb
ACaB | bDcd
ACaB | bDdc
ACaB | bcDd
ACaB | bcdD
ACaB | bdDc
ACaB | bdcD
ACaB | cDbd
ACaB | cDdb
ACaB | cbDd
ACaB | cbdD
ACaB | cdDb
ACaB | cdbD
ACaB | dDbc
ACaB | dDcb
ACaB | dbDc
ACaB | dbcD
ACaB | dcDb
ACaB | dcbD
ACaD | Bbcd
ACaD | Bbdc
ACaD | Bcbd
ACaD | Bcdb
ACaD | Bdbc
ACaD | Bdcb
ACaD | bBcd
ACaD | bBdc
ACaD | bcBd
ACaD | bcdB
ACaD | bdBc
ACaD | bdcB
ACaD | cBbd
ACaD | cBdb
ACaD | cbBd
ACaD | cbdB
ACaD | cdBb
ACaD | cdbB
ACaD | dBbc
ACaD | dBcb
ACaD | dbBc
ACaD | dbcB
ACaD | dcBb
ACaD | dcbB
ACab | BDcd
ACab | BDdc
ACab | BcDd
ACab | BcdD
ACab | BdDc
ACab | BdcD
ACab | DBcd
ACab | DBdc
ACab | DcBd
ACab | DcdB
ACab | DdBc
ACab | DdcB
ACab | cBDd
ACab | cBdD
ACab | cDBd
ACab | cDdB
ACab | cdBD
ACab | cdDB
ACab | dBDc
ACab | dBcD
ACab | dDBc
ACab | dDcB
ACab | dcBD
ACab | dcDB
ACac | BDbd
ACac | BDdb
ACac | BbDd
ACac | BbdD
ACac | BdDb
ACac | BdbD
ACac | DBbd
ACac | DBdb
ACac | DbBd
ACac | DbdB
ACac | DdBb
ACac | DdbB
ACac | bBDd
ACac | bBdD
ACac | bDBd
ACac | bDdB
ACac | bdBD
ACac | bdDB
ACac | dBDb
ACac | dBbD
ACac | dDBb
ACac | dDbB
ACac | dbBD
ACac | dbDB
ACad | BDbc
ACad | BDcb
ACad | BbDc
ACad | BbcD
ACad | BcDb
ACad | BcbD
ACad | DBbc
ACad | DBcb
ACad | DbBc
ACad | DbcB
ACad | DcBb
ACad | DcbB
ACad | bBDc
ACad | bBcD
ACad | bDBc
ACad | bDcB
ACad | bcBD
ACad | bcDB
ACad | cBDb
ACad | cBbD
ACad | cDBb
ACad | cDbB
ACad | cbBD
ACad | cbDB
ACbB | Dacd
ACbB | Dadc
ACbB | Dcad
ACbB | Dcda
ACbB | Ddac
ACbB | Ddca
ACbB | aDcd
ACbB | aDdc
ACbB | acDd
ACbB | acdD
ACbB | adDc
ACbB | adcD
ACbB | cDad
ACbB | cDda
ACbB | caDd
ACbB | cadD
ACbB | cdDa
ACbB | cdaD
ACbB | dDac
ACbB | dDca
ACbB | daDc
ACbB | dacD
ACbB | dcDa
ACbB | dcaD
ACbD | Bacd
ACbD | Badc
ACbD | Bcad
ACbD | Bcda
ACbD | Bdac
ACbD | Bdca
ACbD | aBcd
ACbD | aBdc
ACbD | acBd
ACbD | acdB
ACbD | adBc
ACbD | adcB
ACbD | cBad
ACbD | cBda
ACbD | caBd
ACbD | cadB
ACbD | cdBa
ACbD | cdaB
ACbD | dBac
ACbD | dBca
ACbD | daBc
ACbD | dacB
ACbD | dcBa
ACbD | dcaB
ACba | BDcd
ACba | BDdc
ACba | BcDd
ACba | BcdD
ACba | BdDc
ACba | BdcD
ACba | DBcd
ACba | DBdc
ACba | DcBd
ACba | DcdB
ACba | DdBc
ACba | DdcB
ACba | cBDd
ACba | cBdD
ACba | cDBd
ACba | cDdB
ACba | cdBD
ACba | cdDB
ACba | dBDc
ACba | dBcD
ACba | dDBc
ACba | dDcB
ACba | dcBD
ACba | dcDB
ACbc | BDad
ACbc | BDda
ACbc | BaDd
ACbc | BadD
ACbc | BdDa
ACbc | BdaD
ACbc | DBad
ACbc | DBda
ACbc | DaBd
ACbc | DadB
ACbc | DdBa
ACbc | DdaB
ACbc | aBDd
ACbc | aBdD
ACbc | aDBd
ACbc | aDdB
ACbc | adBD
ACbc | adDB
ACbc | dBDa
ACbc | dBaD
ACbc | dDBa
ACbc | dDaB
ACbc | daBD
ACbc | daDB
ACbd | BDac
ACbd | BDca
ACbd | BaDc
ACbd | BacD
ACbd | BcDa
ACbd | BcaD
ACbd | DBac
ACbd | DBca
ACbd | DaBc
ACbd | DacB
ACbd | DcBa
ACbd | DcaB
ACbd | aBDc
ACbd | aBcD
ACbd | aDBc
ACbd | aDcB
ACbd | acBD
ACbd | acDB
ACbd | cBDa
ACbd | cBaD
ACbd | cDBa
ACbd | cDaB
ACbd | caBD
ACbd | caDB
ACcB | Dabd
ACcB | Dadb
ACcB | Dbad
ACcB | Dbda
ACcB | Ddab
ACcB | Ddba
ACcB | aDbd
ACcB | aDdb
ACcB | abDd
ACcB | abdD
ACcB | adDb
ACcB | adbD
ACcB | bDad
ACcB | bDda
ACcB | baDd
ACcB | badD
ACcB | bdDa
ACcB | bdaD
ACcB | dDab
ACcB | dDba
ACcB | daDb
ACcB | dabD
ACcB | dbDa
ACcB | dbaD
ACcD | Babd
ACcD | Badb
ACcD | Bbad
ACcD | Bbda
ACcD | Bdab
ACcD | Bdba
ACcD | aBbd
ACcD | aBdb
ACcD | abBd
ACcD | abdB
ACcD | adBb
ACcD | adbB
ACcD | bBad
ACcD | bBda
ACcD | baBd
ACcD | badB
ACcD | bdBa
ACcD | bdaB
ACcD | dBab
ACcD | dBba
ACcD | daBb
ACcD | dabB
ACcD | dbBa
ACcD | dbaB
ACca | BDbd
ACca | BDdb
ACca | BbDd
ACca | BbdD
ACca | BdDb
ACca | BdbD
ACca | DBbd
ACca | DBdb
ACca | DbBd
ACca | DbdB
ACca | DdBb
ACca | DdbB
ACca | bBDd
ACca | bBdD
ACca | bDBd
ACca | bDdB
ACca | bdBD
ACca | bdDB
ACca | dBDb
ACca | dBbD
ACca | dDBb
ACca | dDbB
ACca | dbBD
ACca | dbDB
ACcb | BDad
ACcb | BDda
ACcb | BaDd
ACcb | BadD
ACcb | BdDa
ACcb | BdaD
ACcb | DBad
ACcb | DBda
ACcb | DaBd
ACcb | DadB
ACcb | DdBa
ACcb | DdaB
ACcb | aBDd
ACcb | aBdD
ACcb | aDBd
ACcb | aDdB
ACcb | adBD
ACcb | adDB
ACcb | dBDa
ACcb | dBaD
ACcb | dDBa
ACcb | dDaB
ACcb | daBD
ACcb | daDB
ACcd | BDab
ACcd | BDba
ACcd | BaDb
ACcd | BabD
ACcd | BbDa
ACcd | BbaD
ACcd | DBab
ACcd | DBba
ACcd | DaBb
ACcd | DabB
ACcd | DbBa
ACcd | DbaB
ACcd | aBDb
ACcd | aBbD
ACcd | aDBb
ACcd | aDbB
ACcd | abBD
ACcd | abDB
ACcd | bBDa
ACcd | bBaD
ACcd | bDBa
ACcd | bDaB
ACcd | baBD
ACcd | baDB
ACdB | Dabc
ACdB | Dacb
ACdB | Dbac
ACdB | Dbca
ACdB | Dcab
ACdB | Dcba
ACdB | aDbc
ACdB | aDcb
ACdB | abDc
ACdB | abcD
ACdB | acDb
ACdB | acbD
ACdB | bDac
ACdB | bDca
ACdB | baDc
ACdB | bacD
ACdB | bcDa
ACdB | bcaD
ACdB | cDab
ACdB | cDba
ACdB | caDb
ACdB | cabD
ACdB | cbDa
ACdB | cbaD
ACdD | Babc
ACdD | Bacb
ACdD | Bbac
ACdD | Bbca
ACdD | Bcab
ACdD | Bcba
ACdD | aBbc
ACdD | aBcb
ACdD | abBc
ACdD | abcB
ACdD | acBb
ACdD | acbB
ACdD | bBac
ACdD | bBca
ACdD | baBc
ACdD | bacB
ACdD | bcBa
ACdD | bcaB
ACdD | cBab
ACdD | cBba
ACdD | caBb
ACdD | cabB
ACdD | cbBa
ACdD | cbaB
ACda | BDbc
ACda | BDcb
ACda | BbDc
ACda | BbcD
ACda | BcDb
ACda | BcbD
ACda | DBbc
ACda | DBcb
ACda | DbBc
ACda | DbcB
ACda | DcBb
ACda | DcbB
ACda | bBDc
ACda | bBcD
ACda | bDBc
ACda | bDcB
ACda | bcBD
ACda | bcDB
ACda | cBDb
ACda | cBbD
ACda | cDBb
ACda | cDbB
ACda | cbBD
ACda | cbDB
ACdb | BDac
ACdb | BDca
ACdb | BaDc
ACdb | BacD
ACdb | BcDa
ACdb | BcaD
ACdb | DBac
ACdb | DBca
ACdb | DaBc
ACdb | DacB
ACdb | DcBa
ACdb | DcaB
ACdb | aBDc
ACdb | aBcD
ACdb | aDBc
ACdb | aDcB
ACdb | acBD
ACdb | acDB
ACdb | cBDa
ACdb | cBaD
ACdb | cDBa
ACdb | cDaB
ACdb | caBD
ACdb | caDB
ACdc | BDab
ACdc | BDba
ACdc | BaDb
ACdc | BabD
ACdc | BbDa
ACdc | BbaD
ACdc | DBab
ACdc | DBba
ACdc | DaBb
ACdc | DabB
ACdc | DbBa
ACdc | DbaB
ACdc | aBDb
ACdc | aBbD
ACdc | aDBb
ACdc | aDbB
ACdc | abBD
ACdc | abDB
ACdc | bBDa
ACdc | bBaD
ACdc | bDBa
ACdc | bDaB
ACdc | baBD
ACdc | baDB
ADBC | abcd
ADBC | abdc
ADBC | acbd
ADBC | acdb
ADBC | adbc
ADBC | adcb
ADBC | bacd
ADBC | badc
ADBC | bcad
ADBC | bcda
ADBC | bdac
ADBC | bdca
ADBC | cabd
ADBC | cadb
ADBC | cbad
ADBC | cbda
ADBC | cdab
ADBC | cdba
ADBC | dabc
ADBC | dacb
ADBC | dbac
ADBC | dbca
ADBC | dcab
ADBC | dcba
ADBa | Cbcd
ADBa | Cbdc
ADBa | Ccbd
ADBa | Ccdb
ADBa | Cdbc
ADBa | Cdcb
ADBa | bCcd
ADBa | bCdc
ADBa | bcCd
ADBa | bcdC
ADBa | bdCc
ADBa | bdcC
ADBa | cCbd
